@relation IdentifyKey

@attribute title string
@attribute C numeric
@attribute C# numeric
@attribute D numeric
@attribute D# numeric
@attribute E numeric
@attribute F numeric
@attribute F# numeric
@attribute G numeric
@attribute G# numeric
@attribute A numeric
@attribute A# numeric
@attribute B numeric
@attribute key {C,c,C#,c#,D,d,D#,d#,E,e,F,f,F#,f#,G,g,G#,g#,A,a,A#,a#,B,b}

@data
'Piano Sonata No. 1 in C minor, op. 4, iv. Finale: Presto',0.845265,0.413791,0.715798,0.492273,0.378409,0.476653,0.66868,1,0.480661,0.53932,0.462897,0.411225,c
'Rondo in C minor, op. 1',0.643176,0.6464,0.565077,1,0.362488,0.551121,0.557187,0.971823,0.720613,0.379479,0.613326,0.471111,c
'Rondo \'à la Mazur\' in F major, op. 5',1,0.35922,0.543953,0.416817,0.686987,0.829614,0.34719,0.635566,0.384982,0.862422,0.533709,0.53171,F
'Marche funèbre in C minor, op. 72, no. 2',1,0.374555,0.440819,0.815158,0.189101,0.72026,0.19871,0.987455,0.366667,0.193166,0.465676,0.221356,c
'Contredanse in G flat major (?1827)',0.339476,0.799208,0.166148,0.650692,0.177605,0.517659,1,0.187158,0.694082,0.106046,0.43628,0.38425,F#
'Rondo in C major, op. 73',0.881209,0.447512,0.787158,0.417956,0.528449,0.410456,0.842779,1,0.472456,0.752531,0.368041,0.507564,C
'Variations in D major for piano duet (with Vovka Ashkenazy) (1826)',0.261118,0.59393,0.69214,0.216007,0.704497,0.376124,0.694879,0.451797,0.343723,1,0.270254,0.484942,D
'Variations in A major (\'Souvenir de Paganini\', 1829)',0.075937,0.618068,0.415663,0.229805,1,0.128965,0.471913,0.07697,0.389032,0.505389,0.098962,0.505686,A
'Variations brillantes in B flat major, op. 12',0.815385,0.569896,0.884333,0.589588,0.417871,1,0.485752,0.573807,0.416094,0.679651,0.987802,0.307668,A#
'Rondo in E flat major, op. 16',0.753839,0.69557,0.793959,0.809911,0.295727,0.886031,0.525236,0.763446,0.863582,0.456157,1,0.540782,D#
'Bolero in A minor, op. 19',0.856996,0.730687,0.870878,0.557181,1,0.514368,0.541574,0.560743,0.710369,0.958407,0.354414,0.760396,a
'Cantabile in B flat major (1834)',0.866102,0.139097,0.847197,0.369001,0.216153,0.765291,0.26859,0.388909,0.197088,0.47973,1,0.149901,A#
'Variation in E major (from \'Hexameron\', 1837)',0.46042,0.521756,0.171973,0.41453,0.602067,0.102511,0.499352,0.182406,1,0.169831,0.162442,0.493848,E
'Largo in E flat major (?1837)',0.642392,0.194194,0.785863,0.988824,0.194065,0.550058,0.244695,0.889983,0.628887,0.194264,1,0.187801,D#
'Allegro de concert in A major, op. 46',0.43295,0.874567,0.656815,0.53991,0.929955,0.339826,0.770457,0.401369,0.800852,0.917037,0.384904,1,A
'3 Nouvelles Études (1837), i. F minor',1,0.781718,0.543066,0.58742,0.289624,0.77026,0.481332,0.612735,0.650984,0.217772,0.55189,0.436052,f
'3 Nouvelles Études (1837), ii. A flat major',1,0.919537,0.445664,0.706944,0.387821,0.492637,0.421875,0.531448,0.699083,0.236146,0.399033,0.288756,G#
'3 Nouvelles Études (1837), iii. D flat major',0.869766,0.826222,0.603856,0.625996,0.230315,0.530616,0.694998,0.433565,1,0.184013,0.504551,0.217698,C#
'Tarentelle in A flat major, op. 43',0.890716,0.949776,0.354215,0.830298,0.372605,0.395472,0.554294,0.66246,1,0.3489,0.606148,0.477145,G#
'Fugue in A minor (1841-42)',0.868138,0.33108,0.620747,0.454047,0.981724,0.535927,0.427735,0.587582,0.526322,1,0.279199,0.781158,a
'Albumblatt in E major (1843)',0.139983,0.808821,0.14705,0.956921,0.876515,0.201551,0.979909,0.201953,0.924527,0.270476,0.395458,1,E
'Berceuse in D flat major, op. 57',0.667599,0.936038,0.20296,0.537628,0.186925,0.82643,0.84824,0.33288,1,0.309642,0.422555,0.236751,C#
'Barcarolle in F sharp major, op. 60',0.432451,1,0.286533,0.518734,0.264903,0.49934,0.908247,0.245502,0.634877,0.32851,0.596789,0.630265,F#
'24 Preludes, op. 28, i. C major',0.795257,0.219869,0.797899,0.160139,0.532789,0.376771,0.272199,1,0.195098,0.600784,0.175348,0.415426,C
'24 Preludes, op. 28, ii. A minor',0.343548,0.325,0.873463,0.515982,0.465821,0.339601,0.780914,0.590082,0.275942,0.703011,0.28625,1,a
'24 Preludes, op. 28, iii. G major',0.522477,0.337737,1,0.140068,0.519875,0.251471,0.45618,0.796265,0.199453,0.828905,0.158261,0.577749,G
'24 Preludes, op. 28, iv. E minor',0.763974,0.339809,0.478395,0.453162,0.739906,0.322347,0.774404,0.608624,0.282607,0.845215,0.342252,1,e
'24 Preludes, op. 28, v. D major',0.192302,0.671423,1,0.13637,0.37874,0.205435,0.687523,0.445446,0.327458,0.580199,0.313467,0.406562,D
'24 Preludes, op. 28, vi. B minor',0.452653,0.322648,0.89336,0.112291,0.320521,0.129451,0.5577,0.453032,0.159342,0.199076,0.160338,1,b
'24 Preludes, op. 28, vii. A major',0.242374,0.994591,1,0.207989,0.747614,0.162318,0.611345,0.151331,0.446424,0.853314,0.278745,0.74648,A
'24 Preludes, op. 28, viii. F sharp minor',0.328683,0.884239,0.481349,0.420585,0.461379,0.675027,1,0.197075,0.569139,0.674103,0.430467,0.525273,f#
'24 Preludes, op. 28, ix. E major',0.563299,0.761456,0.654658,0.657731,0.809454,0.475636,0.851885,0.610522,0.620714,0.578459,0.743607,1,E
'24 Preludes, op. 28, x. C sharp minor',0.353073,1,0.246474,0.587663,0.404005,0.20806,0.646651,0.288163,0.966054,0.488981,0.37553,0.297165,c#
'24 Preludes, op. 28, xi. B major',0.091227,0.759742,0.175896,0.407014,0.290486,0.230128,1,0.205089,0.541662,0.096492,0.478938,0.507395,B
'24 Preludes, op. 28, xii. G sharp major',0.354125,0.502115,0.447386,0.826683,0.739107,0.483189,0.837275,0.473767,0.677529,0.505246,0.607574,1,G#
'24 Preludes, op. 28, xiii. F sharp major',0.273851,0.917886,0.165885,0.556678,0.193768,0.664451,1,0.250681,0.768004,0.15957,0.861706,0.600141,F#
'24 Preludes, op. 28, xiv. E flat minor',0.465285,0.808439,0.56368,0.606975,0.344549,0.798002,1,0.445426,0.420097,0.51928,0.940164,0.648523,d#
'24 Preludes, op. 28, xv. D flat major',0.398691,0.50991,0.134334,0.830417,0.270234,0.290225,0.374817,0.214806,1,0.161384,0.335707,0.825419,C#
'24 Preludes, op. 28, xvi. B flat minor',1,0.91853,0.480842,0.683662,0.392136,0.95362,0.84562,0.426554,0.440349,0.654999,0.690465,0.39239,a#
'24 Preludes, op. 28, xvii. A flat major',0.664712,1,0.40352,0.89428,0.290063,0.576809,0.524701,0.576173,0.791192,0.327417,0.667386,0.494336,G#
'24 Preludes, op. 28, xviii. F minor',1,0.648015,0.510221,0.418923,0.414496,0.743135,0.507289,0.73428,0.617928,0.511296,0.606596,0.569061,f
'24 Preludes, op. 28, xix. E flat major',0.637026,0.403781,0.671116,0.876416,0.209616,0.805971,0.531868,0.848106,0.403315,0.495982,1,0.407437,D#
'24 Preludes, op. 28, xx. C minor',0.98783,0.313838,0.678963,0.772635,0.251168,0.620396,0.343447,1,0.472088,0.380459,0.268614,0.573521,c
'24 Preludes, op. 28, xxi. B flat major',0.483342,0.608545,0.765349,0.688843,0.281025,0.802345,0.738933,0.500728,0.309745,0.579446,1,0.299235,A#
'24 Preludes, op. 28, xxii. G minor',0.754079,0.590507,0.965588,0.643468,0.38129,0.587212,0.642858,1,0.450978,0.740474,0.842452,0.405698,g
'24 Preludes, op. 28, xxiii. F major',1,0.12703,0.568265,0.10671,0.263156,0.916447,0.165445,0.805637,0.100813,0.634433,0.204546,0.217032,F
'24 Preludes, op. 28, xxiv. D minor',0.554558,0.342817,0.520563,0.316862,0.720334,0.974257,0.376594,0.59777,0.420809,1,0.308315,0.518316,d
'Prelude in C sharp minor, op. 45',0.604344,1,0.573596,0.460906,0.529095,0.489531,0.942794,0.773064,0.720483,0.928076,0.645738,0.540881,c#
'Prelude in A flat major (1834)',0.556957,0.518235,0.427044,0.65168,0.137211,0.476276,0.160095,0.36367,1,0.244402,0.486226,0.25098,G#
'Impromptu in A flat major, op. 29',1,0.462617,0.375704,0.491256,0.252172,0.434709,0.236048,0.611548,0.420397,0.194179,0.439981,0.196098,G#
'Impromptu in F sharp major, op. 36',0.378124,0.823555,0.806422,0.401939,0.393074,0.379892,1,0.479789,0.619423,0.502204,0.432248,0.525471,F#
'Impromptu in G flat major, op. 51',0.472344,1,0.368507,0.802539,0.291477,0.591895,0.814461,0.268522,0.830926,0.308002,0.959319,0.654076,F#
'Fantaisie-Impromptu in C sharp minor, op. 66',0.327077,0.914041,0.201201,0.646374,0.288802,0.37698,0.555541,0.252909,1,0.342314,0.411049,0.271747,c#
'Ballade No. 1 in G minor, op. 23',0.696091,0.563134,1,0.661768,0.544129,0.519247,0.712428,0.765921,0.612777,0.704619,0.857909,0.481348,g
'Ballade No. 2 in F major, op. 38',0.900572,0.531306,0.642722,0.553758,0.672188,0.631647,0.78707,0.890027,0.53701,1,0.606948,0.683844,F
'Ballade No. 3 in A flat major, op. 47',0.867424,0.511514,0.426725,0.676144,0.352502,0.520353,0.424993,0.745604,1,0.29848,0.483843,0.326441,G#
'Ballade No. 4 in F minor, op. 52',1,0.852213,0.317058,0.697585,0.412353,0.790819,0.582945,0.637207,0.77042,0.410002,0.70309,0.314295,f
'Scherzo No. 1 in B minor, op. 20',0.326764,0.925068,0.755618,0.341822,0.627013,0.461466,1,0.739412,0.448175,0.345489,0.649353,0.913619,b
'Scherzo No. 2 in B flat minor, op. 31',1,0.794135,0.375473,0.584596,0.461984,0.793328,0.859447,0.502426,0.792538,0.561607,0.595906,0.438472,a#
'Scherzo No. 3 in C sharp minor, op. 39',0.476628,1,0.27532,0.614259,0.527615,0.505557,0.762106,0.474812,0.678578,0.672165,0.375737,0.411239,c#
'Scherzo No. 4 in E minor, op. 54',0.5033,1,0.317343,0.763877,0.608386,0.335074,0.860771,0.441845,0.986696,0.525172,0.564265,0.966056,e
'3 Nocturnes, op. 9, i. B flat minor',0.637158,0.88506,0.333618,0.932177,0.330994,0.823783,0.668515,0.343165,0.891205,0.564676,1,0.367284,a#
'3 Nocturnes, op. 9, ii. E flat major',0.736946,0.279784,0.693832,1,0.279123,0.555466,0.22726,0.940011,0.387353,0.338608,0.841253,0.396894,D#
'3 Nocturnes, op. 9, iii. G minor',0.42365,1,0.545194,0.642862,0.465661,0.454832,0.976426,0.460631,0.530342,0.376112,0.722492,0.975179,g
'3 Nocturnes, op. 15, i. F major',0.869056,0.712304,0.469928,0.468932,0.40976,1,0.547353,0.55201,0.688907,0.509169,0.945473,0.363345,F
'3 Nocturnes, op. 15, ii. F sharp major',0.272518,0.942077,0.549994,0.579345,0.279852,0.50035,1,0.25149,0.809462,0.347045,0.510669,0.605725,F#
'3 Nocturnes, op. 15, iii. G minor',1,0.406669,0.956429,0.353152,0.4104,0.804332,0.460659,0.543685,0.369637,0.69527,0.517042,0.33062,g
'2 Nocturnes, op. 27, i. C sharp minor',0.387599,1,0.279766,0.360826,0.315303,0.272433,0.425175,0.253143,0.780657,0.303322,0.227276,0.247858,c#
'2 Nocturnes, op. 27, ii. D flat major',0.423921,0.806817,0.30661,0.776054,0.286949,0.451002,1,0.172581,0.679181,0.370115,0.613043,0.276282,C#
'2 Nocturnes, op. 32, i. B major',0.245143,1,0.516253,0.650007,0.380907,0.396747,0.914909,0.329195,0.564828,0.20305,0.636617,0.74725,B
'2 Nocturnes, op. 32, ii. A flat major',0.876999,1,0.530286,0.552876,0.30724,0.382579,0.467453,0.50849,0.668742,0.31869,0.432821,0.400019,G#
'2 Nocturnes, op. 37, i. G minor',0.780847,0.195716,1,0.620371,0.230871,0.576429,0.317189,0.700238,0.206988,0.652884,0.946336,0.222032,g
'2 Nocturnes, op. 37, ii. G major',0.959152,0.725983,0.816978,0.66586,0.735364,0.743339,1,0.602638,0.569799,0.708368,0.685635,0.859806,G
'2 Nocturnes, op. 48, i. C minor',0.697702,0.260846,0.633789,0.365961,0.298781,0.386347,0.400009,1,0.410547,0.368861,0.297338,0.367767,c
'2 Nocturnes, op. 48, ii. F sharp minor',0.679709,1,0.323545,0.578916,0.359453,0.433094,0.939292,0.431374,0.948169,0.525197,0.637035,0.469883,f#
'2 Nocturnes, op. 55, i. F minor',1,0.527647,0.279206,0.36828,0.224783,0.624426,0.379843,0.53836,0.39421,0.258505,0.48097,0.216947,f
'2 Nocturnes, op. 55, ii. E flat minor',1,0.401626,0.756163,0.783236,0.260259,0.827701,0.396915,0.907684,0.63888,0.353479,0.805691,0.293647,d#
'2 Nocturnes, op. 62, i. B major',0.542587,1,0.413559,0.846446,0.409894,0.502356,0.994848,0.366806,0.691004,0.347877,0.706877,0.921223,B
'2 Nocturnes, op. 62, ii. E major',0.585041,0.814139,0.460352,0.613238,0.604824,0.345896,0.956543,0.521888,0.673405,0.659754,0.429631,1,E
'Nocturne in E minor, op. 72, no. 1',0.361442,0.425312,0.281546,0.310908,0.653517,0.178524,1,0.59117,0.212731,0.367137,0.268758,0.90225,e
'Nocturne in C sharp minor (1830)',0.409228,1,0.266272,0.801815,0.553606,0.20255,0.586965,0.276168,0.799749,0.490646,0.263109,0.304757,c#
'Nocturne in C minor',1,0.267334,0.391572,0.645711,0.245942,0.49456,0.229868,0.998084,0.571335,0.147409,0.388559,0.243187,c
'12 Etudes, op. 10, i. C major',0.923299,0.290196,0.797505,0.324414,0.83408,0.574523,0.506819,1,0.344897,0.686147,0.290469,0.700056,C
'12 Etudes, op. 10, ii. A minor',1,0.714131,0.860222,0.518367,0.911585,0.747439,0.752177,0.899381,0.735948,0.849823,0.445831,0.782347,a
'12 Etudes, op. 10, iii. E major',0.494043,0.814048,0.309384,0.476522,0.698803,0.278285,1,0.393363,0.674291,0.672488,0.407782,0.818546,E
'12 Etudes, op. 10, iv. C sharp minor',0.440863,1,0.280498,0.447596,0.46452,0.258191,0.600393,0.430232,0.816552,0.45013,0.342955,0.39895,c#
'12 Etudes, op. 10, v. G flat major \'Black key\'',0.170487,1,0.124925,0.40949,0.138616,0.203203,0.883213,0.182384,0.840155,0.166029,0.73896,0.161878,F#
'12 Etudes, op. 10, vi. E flat minor',0.66156,0.895601,0.574411,0.735917,0.75922,0.560552,0.79729,0.738153,0.961717,0.785761,1,0.804838,d#
'12 Etudes, op. 10, vii. C major',0.823191,0.35979,0.754786,0.254137,0.580957,0.465687,0.409354,1,0.376168,0.567065,0.194726,0.508235,C
'12 Etudes, op. 10, viii. F major',0.775354,0.355726,0.631171,0.166241,0.607945,0.754968,0.284796,1,0.233648,0.897005,0.509307,0.344302,F
'12 Etudes, op. 10, ix. F minor',1,0.979358,0.248719,0.288481,0.273419,0.532178,0.259713,0.816506,0.675684,0.238789,0.496831,0.17184,f
'12 Etudes, op. 10, x. A flat major',0.8105,1,0.490989,0.793238,0.437521,0.575823,0.508501,0.750102,0.906772,0.454807,0.638606,0.53828,G#
'12 Etudes, op. 10, xi. E flat major',1,0.536904,0.636002,0.830697,0.444096,0.81806,0.561778,0.979914,0.82289,0.427408,0.992653,0.55674,D#
'12 Etudes, op. 10, xii. C minor \'Revolutionary\'',0.8,0.441308,0.703372,0.53005,0.272261,0.463334,0.338799,1,0.477422,0.403706,0.348391,0.338646,c
'12 Etudes, op. 25, i. A flat major',0.935994,0.525616,0.319309,1,0.331401,0.707866,0.232946,0.647227,0.984624,0.304114,0.701021,0.284042,G#
'12 Etudes, op. 25, ii. F minor',1,0.627085,0.247824,0.401958,0.399448,0.753171,0.239658,0.739502,0.66729,0.272814,0.694792,0.496555,f
'12 Etudes, op. 25, iii. F major',1,0.430526,0.61601,0.346945,0.438154,0.824686,0.629403,0.87396,0.489447,0.714123,0.475551,0.597326,F
'12 Etudes, op. 25, iv. A minor',0.926933,0.296022,0.586742,0.348214,0.833825,0.689656,0.592703,0.740376,0.70487,1,0.500943,0.870977,a
'12 Etudes, op. 25, v. E minor',0.297777,0.394792,0.304514,0.387733,0.651109,0.220699,0.71486,0.426481,0.610525,0.606178,0.330161,1,e
'12 Etudes, op. 25, vi. G sharp minor',0.468456,0.785763,0.634036,0.927356,0.875652,0.600096,0.922841,0.690567,1,0.645344,0.750037,0.946808,g#
'12 Etudes, op. 25, vii. C sharp minor',0.411144,0.777171,0.323232,1,0.661473,0.428816,0.921304,0.433445,0.867595,0.69302,0.435034,0.718457,c#
'12 Etudes, op. 25, viii. D flat major',0.579688,0.763325,0.292134,0.759487,0.285843,0.813899,0.754929,0.537631,1,0.305127,0.660745,0.308355,C#
'12 Etudes, op. 25, ix. G flat major',0.453168,0.733141,0.346736,0.59622,0.24307,0.542817,0.932788,0.435432,1,0.375566,0.783279,0.636946,F#
'12 Etudes, op. 25, x. B minor',0.370237,0.697461,0.598106,0.509022,0.645794,0.598116,1,0.661366,0.681405,0.550536,0.722833,0.932987,b
'12 Etudes, op. 25, xi. A minor \'Winter wind\'',0.723503,0.409401,0.586281,0.573157,1,0.692492,0.559071,0.654806,0.60868,0.930163,0.40729,0.817557,a
'12 Etudes, op. 25, xii. C minor',0.634883,0.183793,0.672635,0.416929,0.448799,0.506747,0.233271,1,0.441543,0.286968,0.285788,0.438776,c
'2 Polonaises, op. 26, i. C sharp minor',0.473065,1,0.270227,0.517839,0.422233,0.426881,0.564212,0.335709,0.9259,0.326488,0.405274,0.285698,c#
'2 Polonaises, op. 26, ii. E flat minor',0.445044,0.605305,0.388369,0.820555,0.318895,0.943782,0.686204,0.297964,0.546043,0.419351,1,0.74023,d#
'2 Polonaises, op. 40, i. A major',0.421088,0.959867,0.8994,0.486624,0.685289,0.386531,0.995827,0.47913,0.856267,1,0.409822,0.62914,A
'2 Polonaises, op. 40, ii. C minor',0.918313,0.36931,0.788952,0.819694,0.376201,0.433707,0.572909,1,0.425918,0.38225,0.626684,0.549651,c
'Polonaise in F sharp minor, op. 44',0.4623,0.985624,0.623889,0.471297,0.483101,0.43257,1,0.383796,0.827285,0.637129,0.330105,0.539471,f#
'Polonaise in A flat minor, op. 53',0.942118,0.729454,0.416245,1,0.362803,0.874103,0.42268,0.705034,0.882954,0.347223,0.881673,0.412219,g#
'Polonaise-fantaisie in A flat major, op. 61',0.935503,1,0.611441,0.920714,0.450364,0.81065,0.921323,0.731374,0.721492,0.606169,0.93624,0.945236,G#
'3 Polonaises, op. 71, i. D minor',0.178802,0.572772,0.650709,0.193295,0.530234,0.486451,0.505222,0.2886,0.346094,1,0.289099,0.4076,d
'3 Polonaises, op. 71, ii. B flat major',0.874796,0.454503,0.9631,0.577317,0.300709,0.637615,0.6566,1,0.337714,0.719763,0.694914,0.363228,A#
'3 Polonaises, op. 71, iii. F minor',1,0.646473,0.441373,0.527064,0.403241,0.847515,0.341918,0.639289,0.704292,0.234559,0.652011,0.360981,f
'Polonaise in B flat minor (1826)',0.556749,0.731613,0.13349,0.318318,0.241459,1,0.406694,0.196084,0.275912,0.336744,0.389721,0.114275,a#
'Polonaise in G flat major (1829)',0.304563,0.927179,0.349273,0.569084,0.241213,0.556683,1,0.265475,0.543501,0.258421,0.648992,0.416122,F#
'Polonaise in G minor (1817)',0.454256,0.185132,1,0.363853,0.193353,0.644834,0.417567,0.593897,0.18566,0.911897,0.739861,0.179941,g
'Polonaise in B flat major (1817)',0.673481,0.196513,0.82493,0.490035,0.261931,1,0.322918,0.61868,0.186712,0.842265,0.685653,0.193298,A#
'Polonaise in A flat major (1821)',0.859109,0.872838,0.72511,1,0.208611,0.900476,0.402887,0.899227,0.863473,0.387007,0.888629,0.392691,G#
'Polonaise in G sharp minor (1822)',0.289205,0.772505,0.440601,0.961293,0.591547,0.557413,1,0.602157,0.709837,0.240236,0.538721,0.959294,g#
'Waltz in E flat major, op. 18',0.481648,0.556285,0.481727,0.771205,0.173177,0.838768,0.596734,0.601859,0.983687,0.229016,1,0.273499,D#
'3 Waltzes, op. 34, i. A flat major',0.784192,1,0.451035,0.900588,0.285434,0.593638,0.651041,0.844444,0.791686,0.40613,0.688024,0.235762,G#
'3 Waltzes, op. 34, ii. A minor',0.774432,0.471366,0.840164,0.259906,1,0.689079,0.460088,0.52364,0.547083,0.672956,0.218743,0.718171,a
'3 Waltzes, op. 34, iii. F major',1,0.225834,0.636158,0.293592,0.38984,0.785414,0.325654,0.614231,0.193731,0.547461,0.463254,0.187722,F
